Brand,Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP
Micromax,230.0,1.0,4,2000.0,8.0
Micromax,150.0,,4,2000.0,5.0
Micromax,100.0,,2,3000.0,2.0
Micromax,120.0,,5,3000.0,2.0
Micromax,130.0,,2,3000.0,2.0
Micromax,190.0,,4,2100.0,8.0
Micromax,180.0,1.0,4,2000.0,8.0
Micromax,110.0,,4,1800.0,5.0
Micromax,230.0,1.0,16,2000.0,13.0
Micromax,110.0,,4,2000.0,5.0
Micromax,230.0,1.0,16,2600.0,12.0
Micromax,60.0,,4,1500.0,2.0
Micromax,60.0,,4,1850.0,2.0
Micromax,90.0,,4,1500.0,5.0
Micromax,100.0,,4,2000.0,5.0
Micromax,140.0,1.0,4,2000.0,8.0
Micromax,170.0,1.0,16,4800.0,5.0
Micromax,240.0,2.0,16,2000.0,13.0
Micromax,180.0,1.0,4,2000.0,12.0
ZTE,150.0,4.0,32,5000.0,13.0
ZTE,150.0,2.0,16,2500.0,8.0
ZTE,160.0,2.0,16,2800.0,13.0
ZTE,130.0,2.0,16,3000.0,8.0
ZTE,80.0,1.0,8,2400.0,8.0
ZTE,170.0,4.0,64,2950.0,13.0
ZTE,120.0,2.0,16,3990.0,13.0
ZTE,450.0,6.0,128,3400.0,12.0
ZTE,300.0,6.0,64,3200.0,12.0
ZTE,230.0,3.0,32,3000.0,13.0
ZTE,120.0,3.0,32,3000.0,13.0
ZTE,300.0,4.0,64,3630.0,13.0
ZTE,260.0,4.0,64,5000.0,13.0
ZTE,180.0,2.0,16,2540.0,13.0
ZTE,160.0,1.0,8,4620.0,5.0
ZTE,80.0,1.0,8,4000.0,8.0
ZTE,70.0,1.0,8,2200.0,5.0
ZTE,110.0,2.0,16,3000.0,8.0
ZTE,110.0,2.0,32,4080.0,16.0
ZTE,250.0,6.0,64,3200.0,13.0
ZTE,200.0,6.0,64,3200.0,13.0
ZTE,360.0,6.0,64,3100.0,12.0
ZTE,400.0,4.0,64,3180.0,20.0
ZTE,100.0,2.0,16,3000.0,13.0
